"","GSE.2007.X","GSE.2007.Y","GSE.2008.X","GSE.2008.Y","GSE.2009.X","GSE.2009.Y","GSE.2010.X","GSE.2010.Y","GSE.2011.X","GSE.2011.Y","GSE.2012.X","GSE.2012.Y","GSE.2013.X","GSE.2013.Y","GSE.2014.X","GSE.2014.Y","GSE.2015.X","GSE.2015.Y"
"challenges",0,0.2075,0.0691666666666667,0,0.051875,0.3575,0.113,0,0.0941666666666667,0,0.0807142857142857,0,0.070625,0.25,0.0905555555555556,0.3025,0.11175,0
"rachelbotsman",0,0,0,0,0,0,0,0.7075,0.117916666666667,0.4075,0.159285714285714,0,0.139375,0,0.123888888888889,0,0.1115,0
"income",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2725,0.0302777777777778,0.355,0.06275,0.4825
"president",0.25375,0.21,0.239166666666667,0,0.179375,0,0.1435,0.3775,0.1825,0,0.156428571428571,0,0.136875,0,0.121666666666667,0,0.1095,0
"library",0.38875,0,0.259166666666667,0,0.194375,0,0.1555,0.3,0.179583333333333,0,0.153928571428571,0,0.1346875,0,0.119722222222222,0,0.10775,0
"family",0.27,0.2275,0.255833333333333,0.285,0.263125,0,0.2105,0,0.175416666666667,0,0.150357142857143,0,0.1315625,0,0.116944444444444,0,0.10525,0
"crowdfunding",0,0,0,0.455,0.11375,0,0.091,0,0.0758333333333333,0,0.065,0.55,0.125625,0,0.111666666666667,0,0.1005,0
"ondemandeconomy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.035,0.6475
"urban",0,0,0,0.3725,0.093125,0,0.0745,0,0.0620833333333333,0.275,0.0925,0,0.0809375,0.2975,0.105,0,0.0945,0
"retail",0.12125,0.2075,0.15,0,0.1125,0,0.09,0,0.075,0.235,0.0978571428571429,0,0.085625,0.26,0.105,0,0.0945,0
"waste",0,0,0,0.2725,0.068125,0.3625,0.127,0,0.105833333333333,0,0.0907142857142857,0.31,0.118125,0,0.105,0,0.0945,0
"association",0.10125,0,0.0675,0.3275,0.1325,0.4125,0.1885,0,0.157083333333333,0,0.134642857142857,0,0.1178125,0,0.104722222222222,0,0.09425,0
