"","LN.2007.X","LN.2007.Y","LN.2008.X","LN.2008.Y","LN.2009.X","LN.2009.Y","LN.2010.X","LN.2010.Y","LN.2011.X","LN.2011.Y","LN.2012.X","LN.2012.Y","LN.2013.X","LN.2013.Y","LN.2014.X","LN.2014.Y","LN.2015.X","LN.2015.Y"
"financial",0.141263940520446,0.132142857142857,0.136612021857924,0.114678899082569,0.126903553299492,0.20335429769392,0.151846785225718,0.16726618705036,0.15609514370664,0.192307692307692,0.165945165945166,0.162,0.164899257688229,0.135135135135135,0.158666946132886,0.127659574468085,0.153351858284126,0.182459677419355
"growing",0.171003717472119,0.15,0.160291438979964,0.126146788990826,0.145177664974619,0.10272536687631,0.131326949384405,0.161870503597122,0.139742319127849,0.140583554376658,0.13997113997114,0.129,0.137062566277837,0.183183183183183,0.146719765248376,0.173252279635258,0.151267801319903,0.189516129032258
"mobile",0.0520446096654275,0,0.0255009107468124,0,0.0142131979695431,0.0922431865828092,0.039671682626539,0.188848920863309,0.0807730426164519,0.222811671087533,0.119408369408369,0.237,0.150583244962884,0.212212212212212,0.163487738419619,0.13677811550152,0.158909343522056,0.138104838709677
"hertz",0,0,0,0,0,0.335429769392034,0.109439124487004,0.334532374100719,0.171456888007929,0.457559681697613,0.249278499278499,0.239,0.246553552492047,0.102102102102102,0.216306853909034,0,0.179228898923237,0
"space",0.0817843866171004,0.125,0.103825136612022,0.16743119266055,0.131979695431472,0,0.0889192886456908,0.179856115107914,0.113974231912785,0.129973474801061,0.118326118326118,0.139,0.123806998939555,0.177177177177177,0.134982184028506,0.22289766970618,0.150052101424106,0.159274193548387
"driving",0.174721189591078,0.167857142857143,0.171220400728597,0.18348623853211,0.176649746192893,0.174004192872117,0.17578659370725,0.169064748201439,0.173934588701685,0.173740053050398,0.173881673881674,0.143,0.165694591728526,0.168168168168168,0.166212534059946,0.114488348530902,0.157346300798889,0.115927419354839
"capital",0.115241635687732,0.107142857142857,0.111111111111111,0,0.0619289340101523,0.115303983228512,0.079343365253078,0.190647482014388,0.110009910802775,0.257294429708223,0.15007215007215,0.102,0.137327677624602,0.173173173173173,0.144833368266611,0.179331306990881,0.150746787078847,0.132056451612903
"electric",0,0,0,0,0,0.19916142557652,0.0649794801641587,0.471223021582734,0.176907829534192,0.278514588859416,0.204545454545455,0.239,0.213679745493107,0.189189189189189,0.208551666317334,0,0.172803056616881,0
"bikeshare",0,0,0,0.0986238532110092,0.0436548223350254,0,0.0294117647058824,0.16726618705036,0.0673934588701685,0.188328912466843,0.1002886002886,0.199,0.126458112407211,0.315315315315315,0.166002934395305,0.197568389057751,0.171413685307398,0
"london",0.118959107806691,0.225,0.17304189435337,0.121559633027523,0.150253807106599,0.19706498951782,0.165526675786594,0.158273381294964,0.163528245787909,0.209549071618037,0.176046176046176,0.126,0.162778366914104,0.112112112112112,0.15216935652903,0.142857142857143,0.150573115665162,0.119959677419355
"shared",0,0.107142857142857,0.0546448087431694,0.112385321100917,0.0802030456852792,0.10062893081761,0.0868673050615595,0.205035971223022,0.119425173439049,0.179045092838196,0.135642135642136,0.097,0.125397667020148,0.188188188188188,0.138545378327395,0.184397163120567,0.146405001736714,0.13508064516129
"national",0.241635687732342,0.189285714285714,0.214936247723133,0.146788990825688,0.184771573604061,0.274633123689727,0.214090287277702,0.188848920863309,0.207135777998018,0.1657824933687,0.195887445887446,0.127,0.17762460233298,0.18018018018018,0.178159714944456,0,0.147620701632511,0.126008064516129
"road",0.356877323420074,0.371428571428571,0.364298724954463,0.31651376146789,0.343147208121827,0.19496855345912,0.294801641586867,0.201438848920863,0.269078295341923,0.171087533156499,0.242424242424242,0.111,0.207582184517497,0.104104104104104,0.185914902536156,0.0851063829787234,0.168634942688433,0
